algorithm,dataset,threshold,mu,total_twu,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,connect,0.1,73614235,736142359,1052324.5033333332,877980.0,903589.6666666666,1086964.0,3066426.0,3691.0,2305100.0,3066426.0
MaxCHuim,connect,0.13,95698506,736142359,590377.16,558976.0,608482.3333333334,762265.3333333334,1501095.0,1803.0,1254753.0,1501095.0
MaxCHuim,connect,0.15,110421353,736142359,457807.0833333333,423700.0,452997.6666666667,625437.3333333334,938044.0,1135.0,911689.0,938044.0
MaxCHuim,connect,0.17,125144201,736142359,296931.9366666667,306696.0,356242.6666666667,512510.6666666667,516875.0,617.0,556340.0,516875.0
MaxCHuim,mushroom,0.01,295102,29510229,3765.263333333333,79220.0,67201.33333333333,143229.33333333334,155175.0,1723.0,119888.0,155175.0
MaxCHuim,mushroom,0.013,383632,29510229,2766.3033333333333,87020.0,51632.666666666664,147450.66666666666,104663.0,1118.0,84783.0,104663.0
MaxCHuim,mushroom,0.015,442653,29510229,2430.63,75414.66666666667,53536.0,135594.66666666666,83508.0,796.0,69910.0,83508.0
MaxCHuim,mushroom,0.017,501673,29510229,2382.943333333333,70673.33333333333,54450.0,131596.0,67421.0,676.0,58771.0,67421.0
MaxCHuim,pumsb,0.1,0,0,9.08,1616.0,37.666666666666664,45381.333333333336,0.0,0.0,0.0,0.0
MaxCHuim,pumsb,0.15,0,0,9.11,1613.3333333333333,37.0,45256.0,0.0,0.0,0.0,0.0
MaxCHuim,pumsb,0.2,0,0,9.063333333333333,1600.0,38.333333333333336,45344.0,0.0,0.0,0.0,0.0
MaxCHuim,pumsb,0.25,0,0,9.056666666666667,1612.0,37.666666666666664,45153.333333333336,0.0,0.0,0.0,0.0
MaxCHuim,pumsb,0.3,0,0,9.076666666666666,1589.3333333333333,37.0,45178.666666666664,0.0,0.0,0.0,0.0
MaxCHuim,pumsb,0.35,0,0,9.126666666666667,1609.3333333333333,37.0,45368.0,0.0,0.0,0.0,0.0
MaxCHuim,pumsb_star,0.1,20144581,201445816,14643.553333333335,603132.0,399571.3333333333,760232.0,17.0,1.0,605.0,17.0
MaxCHuim,pumsb_star,0.15,30216872,201445816,5499.583333333333,308068.0,315173.0,462629.3333333333,0.0,0.0,43.0,0.0
MaxCHuim,pumsb_star,0.2,40289163,201445816,3011.9666666666667,224106.66666666666,237281.0,383556.0,0.0,0.0,30.0,0.0
MaxCHuim,pumsb_star,0.25,50361454,201445816,1820.6766666666665,177484.0,191255.0,332272.0,0.0,0.0,16.0,0.0
MaxCHuim,pumsb_star,0.3,60433744,201445816,1202.17,141040.0,154236.66666666666,302372.0,0.0,0.0,9.0,0.0
MaxCHuim,pumsb_star,0.35,70506035,201445816,1146.55,130032.0,128707.33333333333,284485.3333333333,0.0,0.0,1.0,0.0
MaxCHuimBitmax,connect,0.1,73614235,736142359,1045755.94,867772.0,931920.0,1076752.0,3066426.0,3691.0,2305100.0,3066426.0
MaxCHuimBitmax,connect,0.13,95698506,736142359,588137.1766666666,551600.0,577756.0,756741.3333333334,1501095.0,1803.0,1254753.0,1501095.0
MaxCHuimBitmax,connect,0.15,110421353,736142359,458755.0533333333,403136.0,443117.6666666667,608741.3333333334,938044.0,1135.0,911689.0,938044.0
MaxCHuimBitmax,connect,0.17,125144201,736142359,298444.42,312006.6666666667,358848.3333333333,516897.3333333333,516875.0,617.0,556340.0,516875.0
MaxCHuimBitmax,mushroom,0.01,295102,29510229,2793.906666666667,83244.0,73584.66666666667,143796.0,155175.0,1723.0,119888.0,155175.0
MaxCHuimBitmax,mushroom,0.013,383632,29510229,2389.5466666666666,75625.33333333333,55881.333333333336,136192.0,104663.0,1118.0,84783.0,104663.0
MaxCHuimBitmax,mushroom,0.015,442653,29510229,2249.2999999999997,75877.33333333333,56554.0,135622.66666666666,83508.0,796.0,69910.0,83508.0
MaxCHuimBitmax,mushroom,0.017,501673,29510229,2034.28,93944.0,42153.666666666664,154128.0,67421.0,676.0,58771.0,67421.0
MaxCHuimBitmax,pumsb,0.1,0,0,10.62,1948.0,37.0,45184.0,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb,0.15,0,0,10.623333333333333,1932.0,37.0,45038.666666666664,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb,0.2,0,0,10.643333333333333,1933.3333333333333,39.666666666666664,45234.666666666664,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb,0.25,0,0,10.653333333333334,1937.3333333333333,39.666666666666664,45128.0,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb,0.3,0,0,10.576666666666666,1938.6666666666667,37.0,45089.333333333336,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb,0.35,0,0,10.65,1938.6666666666667,39.666666666666664,45176.0,0.0,0.0,0.0,0.0
MaxCHuimBitmax,pumsb_star,0.1,20144581,201445816,14779.143333333333,576816.0,363971.6666666667,728478.6666666666,17.0,1.0,605.0,17.0
MaxCHuimBitmax,pumsb_star,0.15,30216872,201445816,5511.333333333333,343870.6666666667,323348.3333333333,489582.6666666667,0.0,0.0,43.0,0.0
MaxCHuimBitmax,pumsb_star,0.2,40289163,201445816,3002.94,240042.66666666666,248086.33333333334,389309.3333333333,0.0,0.0,30.0,0.0
MaxCHuimBitmax,pumsb_star,0.25,50361454,201445816,1825.64,167372.0,184788.66666666666,326566.6666666667,0.0,0.0,16.0,0.0
MaxCHuimBitmax,pumsb_star,0.3,60433744,201445816,1233.8933333333332,139932.0,148094.66666666666,294277.3333333333,0.0,0.0,9.0,0.0
MaxCHuimBitmax,pumsb_star,0.35,70506035,201445816,1087.0633333333333,132400.0,132934.66666666666,291929.3333333333,0.0,0.0,1.0,0.0
